2008 12 01 17 19    6.96     333    3.02      34   614.7
2008 12 01 17 24    7.83     316    2.73      29   614.6
2008 12 01 17 29    6.96     336    2.61      42   614.7
2008 12 01 17 34    6.96     319    2.36      47   614.8
2008 12 01 17 39    7.83     314    2.00      55   614.7
2008 12 01 17 44    7.83     309    1.68      46   614.8
2008 12 01 17 49    8.70     291    1.55      32   614.8
2008 12 01 17 54    9.57     301    1.44      47   614.8
2008 12 01 17 59    8.70     298    1.31      47   614.8
2008 12 01 18 04    8.70     244    1.31      63   614.7
2008 12 01 18 09   10.43     299    1.31      69   614.8
2008 12 01 18 14   10.43     296    1.26      73   614.8
2008 12 01 18 19   12.17     275    1.26      68   614.9
2008 12 01 18 24   11.30     278    1.31      69   614.9
2008 12 01 18 29   13.91     298    1.39      64   614.9
2008 12 01 18 34   13.91     300    1.31      65   615.0
2008 12 01 18 39   13.04     271    1.31      60   615.0
2008 12 01 18 44   16.52     278    1.31      60   615.0
2008 12 01 18 49   16.52     301    1.31      59   615.1
2008 12 01 18 54    9.57     297    1.26      62   615.2
2008 12 01 18 59   12.17     288    1.07      62   615.3
2008 12 01 19 04   10.43     259    0.95      59   615.4
2008 12 01 19 09   10.43     307    0.82      56   615.5
2008 12 01 19 14    8.70     271    0.82      55   615.5
2008 12 01 19 19   10.43     302    0.82      50   615.6
2008 12 01 19 24   10.43     310    1.02      43   615.5
2008 12 01 19 29   10.43     279    1.02      46   615.5
2008 12 01 19 34    8.70     265    0.95      46   615.5
2008 12 01 19 39    9.57     316    0.82      46   615.5
2008 12 01 19 44    8.70     277    0.70      51   615.5
2008 12 01 19 49    9.57     323    0.46      51   615.6
2008 12 01 19 54    8.70     261    0.33      48   615.6
2008 12 01 19 59    6.96     280    0.46      46   615.6
2008 12 01 20 04   10.43     314    0.58      40   615.7
2008 12 01 20 09    9.57     299    0.70      36   615.7
2008 12 01 20 14    8.70     303    0.77      33   615.8
2008 12 01 20 19    9.57     270    0.77      34   615.8
2008 12 01 20 24    9.57     304    0.82      40   615.9
2008 12 01 20 29   10.43     282    0.76      39   615.9
2008 12 01 20 34    7.83     247    0.77      32   615.9
2008 12 01 20 39    6.09     269    0.82      27   616.0
2008 12 01 20 44    5.22     263    0.95      25   616.0
2008 12 01 20 49    4.35     256    1.07      23   616.1
2008 12 01 20 54    6.09     288    1.02      25   616.1
2008 12 01 20 59    3.48     300    1.07      24   616.1
2008 12 01 21 04    3.48     317    1.14      21   616.1
2008 12 01 21 09    5.22     322    1.14      22   616.2
2008 12 01 21 14    6.96     309    1.02      23   616.2
2008 12 01 21 19    6.96     317    0.90      22   616.2
2008 12 01 21 24    6.09     323    0.90      22   616.2
2008 12 01 21 29    6.09     319    0.90      22   616.2
2008 12 01 21 34    6.96     320    0.90      22   616.2
2008 12 01 21 39    6.09     316    0.82      22   616.2
2008 12 02 07 24   10.43      85    2.53       9   616.8
2008 12 02 07 29   10.43      83    2.78      11   616.8
2008 12 02 07 34   12.17      84    3.09      19   616.8
2008 12 02 07 39   11.30      82    3.39      19   616.9
2008 12 02 07 44   12.17      81    3.58      22   617.0
2008 12 02 07 49   12.17      84    3.83      25   617.1
2008 12 02 07 54    9.57      85    3.83      17   617.2
2008 12 02 07 59    9.57      80    3.83      15   617.2
2008 12 02 08 04   12.17      75    3.76      15   617.3
2008 12 02 08 09   11.30      84    3.95      19   617.3
2008 12 02 08 14   11.30      90    4.00      15   617.4
2008 12 02 08 19   12.17      92    3.95      14   617.4
2008 12 02 08 24   10.43      88    3.87      10   617.5
2008 12 02 08 29   10.43     102    4.12      11   617.5
2008 12 02 08 34   12.17      96    4.25      17   617.5
2008 12 02 08 39   14.78      89    4.37      20   617.6
2008 12 02 08 44   13.91      95    4.32      21   617.6
2008 12 02 08 49   14.78      98    4.56      25   617.7
2008 12 02 08 54   10.43      84    4.59      19   617.8
2008 12 02 08 59   12.17     102    4.44      21   617.8
2008 12 02 09 04   11.30      97    4.44      17   617.8
2008 12 02 09 09    6.96     100    4.32      12   617.9
2008 12 02 09 14    9.57      98    4.61      13   617.9
2008 12 02 09 19   10.43     105    4.49      13   618.0
2008 12 02 09 24    8.70      96    4.49      15   618.0
2008 12 02 09 29    6.09     107    4.32      13   618.0
2008 12 02 09 34   10.43      84    4.44      19   617.9
2008 12 02 09 39    9.57      98    4.56      24   617.9
2008 12 02 09 44    8.70      95    4.68      22   617.8
2008 12 02 09 49   11.30     102    4.97      30   617.9
2008 12 02 09 54   11.30     101    5.17      22   617.9
2008 12 02 09 59   10.43      94    4.97      19   617.9
2008 12 02 10 04    8.70      93    5.22      15   617.9
2008 12 02 10 09    9.57      88    5.22      25   617.9
2008 12 02 10 14   11.30      83    5.22      18   618.0
2008 12 02 10 19    8.70     101    5.10      14   618.0
2008 12 02 10 24   10.43     100    5.29      19   618.0
2008 12 02 10 29    9.57     115    5.22      18   617.9
2008 12 02 10 34   12.17     100    5.22      25   617.8
2008 12 02 10 39   11.30     104    5.41      16   617.8
2008 12 02 10 44   13.91      97    5.54      17   617.8
